id,Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Latitude_Longitude_Points,color,strokeColor
32,LOY,HC,HC Building,"Hingston Hall, wing HC",7141 Sherbrooke West,45.459308,-73.641849,"[(45.45962760847901, -73.64224447147062),(45.45953965610772, -73.64201715425428),(45.45971650137892, -73.64188036159311),(45.45972873002062, -73.64190986589321),(45.459829851379304, -73.64183141127707),(45.45989475708606, -73.64199837879346),(45.45979269518022, -73.64207683340959),(45.459803512810325, -73.64210700826195)]","rgba(255, 0, 0, 0.35)",red
33,LOY,HU,HU Building,Applied Science Hub,"7141, Sherbrooke W",45.458513,-73.641921,"[(45.458443662103804, -73.64211952227521),(45.45829356556177, -73.64171894112393),(45.458576874793486, -73.64150481025284),(45.45872656776649, -73.64190567313986)]","rgba(255, 0, 0, 0.35)",red
34,LOY,JR,JR Building,Jesuit Residence,7141 Sherbrooke West,45.458432,-73.643235,"[(45.458464709025236, -73.64332826607858),(45.45844904764074, -73.64334102488716),(45.45841045349605, -73.64324214412069),(45.458426674226736, -73.64322779046104),(45.45839870744678, -73.6431536298862),(45.458468065035646, -73.6430962152476),(45.45847841829084, -73.64312204296068),(45.458491117543694, -73.64311332578112),(45.45848547343166, -73.64309924418335),(45.45853956281546, -73.64305498773322),(45.45856919436893, -73.64313143069253),(45.458583304627005, -73.64311869019932),(45.458625165038534, -73.64322195524962),(45.45860541069091, -73.64323402519055),(45.45863504220977, -73.64330845649305),(45.458566842658904, -73.64336411233184),(45.45855978752824, -73.64334868962952),(45.45855978752824, -73.64334801907724),(45.45849299891425, -73.64340166325923),(45.458465248692235, -73.64332790250901),(45.45845019771862, -73.64334064300222)]","rgba(255, 0, 0, 0.35)",red
36,LOY,BB,BB Building,BB-BH Annex,3502 Bermore Avenue,45.459793,-73.639174,"[(45.45972525923302, -73.63924395580337),(45.45969374695668, -73.63916818340367),(45.45978499141002, -73.63909241100399),(45.459816033303795, -73.63916684229926)]","rgba(255, 0, 0, 0.35)",red
37,SGW,LC,LC Building,LC Building,1426 Bishop Street,45.496782,-73.577358,"[(45.496622,-73.577391),(45.496686,-73.577386),(45.496697,-73.577424),(45.496863,-73.577263),(45.496833,-73.577193),(45.496626,-73.577391), (45.496641,-73.577418)]","rgba(255, 0, 0, 0.35)
",red
38,SGW,LD,LD Building,LD Building,1424 Bishop Street,45.496697,-73.577312,"[(45.496537,-73.577370),(45.496563,-73.577440),(45.496823,-73.577188),(45.496814,-73.577171),(45.496840,-73.577139), (45.496818,-73.577085), (45.496536,-73.577370)]","rgba(255, 0, 0, 0.35)
",red
40,SGW,MB,MB Building,John Molson Building,1450 Guy Street,45.495304,-73.579044,"[(45.495268,-73.579570),(45.495535,-73.579232
),(45.495207,-73.578459),(45.494947,-73.578796
),(45.495188,-73.579231),(45.495112,-73.579306
),(45.495267,-73.579564
)]","rgba(218, 58, 22, 0.35)",orange
41,SGW,MI,MI Building,MI Annex,2130 Bishop Street,45.497807,-73.579261,"[(45.497700,-73.579342),(45.497805,-73.579251),(45.497775,-73.579159),(45.497677,-73.579256),(45.497700,-73.579342)]","rgba(255, 0, 0, 0.35)
","red
"
46,SGW,MU,MU Building,MU Annex,2170 Bishop Street,45.497963,-73.579506,"[(45.497739,-73.579757),(45.497955,-73.579537),(45.497921,-73.579462),(45.497707,-73.579682),(45.497739,-73.579757)]","rgba(255, 0, 0, 0.35)
",red
47,SGW,P,P Building,P Annex,2020 Mackay Street,45.496745,-73.579113,"[(45.496613,-73.579263),(45.496718,-73.579172),(45.496684,-73.579092),(45.496586,-73.579194),(45.496613,-73.579263)]","rgba(255, 0, 0, 0.35)
",red
